Genome	C04M3AN_ss Relative Abundance (%)	C04M3CO_ss Relative Abundance (%)	C04M3CR_ss Relative Abundance (%)	C04M3DR_ss Relative Abundance (%)	C04M3DT_ss Relative Abundance (%)	C04M3F1_ss Relative Abundance (%)	C04M3F2_ss Relative Abundance (%)	C04M3F3_ss Relative Abundance (%)	C04M3HR_ss Relative Abundance (%)	C04M3HT_ss Relative Abundance (%)	C04M3OP_ss Relative Abundance (%)	C13F5AN_ss Relative Abundance (%)	C13F5CO_ss Relative Abundance (%)	C13F5CR_ss Relative Abundance (%)	C13F5DR_ss Relative Abundance (%)	C13F5DT_ss Relative Abundance (%)	C13F5F1_ss Relative Abundance (%)	C13F5F2_ss Relative Abundance (%)	C13F5F3_ss Relative Abundance (%)	C13F5HR_ss Relative Abundance (%)	C13F5HT_ss Relative Abundance (%)	C13F5OP_ss Relative Abundance (%)
MGBC133623	0.000040585346	0	0.000018122411	0.000034710418	0.00012353664	0.000024435612	0.000037094822	0.00010433188	0.000007694128	0.00003655768	0.000023122999	0.012717011	0.005902852	0.016483182	0.015633935	0.023819206	0.0074916896	0.008072185	0.01603375	0.006732779	0.012492341	0.0022975397
MGBC133989	0.0000127338035	0	0	0	0	0.000015333528	0	0	0	0	0.00004328806	0	0	0	0	0	0	0	0	0	0	0
MGBC134150	0.0023506482	0.014348517	0.010091633	0.0100496765	0.0033325227	0.007023843	0.010959032	0.0006239304	0.009028556	0.007885156	0.00526008	0.013479719	0.019365968	0.009335328	0.015254794	0.0036139374	0.055042073	0.032948278	0.008689671	0.017301716	0.039399285	0.035130743
MGBC134176	0.015857806	0.010932833	0.012798035	0.012936829	0.013340216	0.011451627	0.012754085	0.015556437	0.011370402	0.011620034	0.011082239	0.011489046	0.020518586	0.019696673	0.0091393115	0.014539457	0.021707363	0.027829938	0.007894186	0.010477333	0.008973638	0.01494502
MGBC134341	0.06821724	0.14464861	0.15486823	0.16711865	0.06706481	0.34470972	0.41734233	0.05796732	0.12904781	0.3858978	0.16764468	0.046624046	0.10818457	0.27588806	0.16922987	0.044843685	0.08799147	0.058019575	0.012873188	0.6299111	0.67223144	2.069573
MGBC134456	0.021337438	0.016383367	0.011836871	0.012952473	0.026741443	0.008255515	0.006073923	0.012804992	0.010161587	0.008842168	0.01754513	0.026205368	0.008802176	0.0039178547	0.0021791419	0.0052331765	0.010351077	0.025469018	0.011859517	0.0068182885	0.010175075	0.00024215323
MGBC134540	0	0	0	0	0.000008218533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGBC134666	0.011267445	0.004151365	0.0071975207	0.0059794243	0.01075907	0.0043577068	0.0032078105	0.011411569	0.00751698	0.0056609386	0.005434016	0.011493555	0.0052392017	0.011340234	0.0098375995	0.018245164	0.0051727365	0.0055104075	0.012654724	0.011730111	0.011481306	0.007908566
MGBC134914	0.0028285375	0.0012476067	0.00086926227	0.000350079	0.0024469527	0.00199537	0.001864654	0.00219032	0.003912703	0.00029772765	0.00010460542	0	0	0	0	0	0	0	0	0	0	0
MGBC135202	0.0018580467	2.8243797	0.82933235	0.0065026847	0.113042526	0.01505794	0.029312348	0.001649343	3.633212	1.8397607	0.33120412	0.0018394876	0.0029240325	0.0039396416	0.007129792	0.0018522708	0.0072927726	0.0025773188	0.0009569273	0.002139616	0.0017902383	0.0051097116
MGBC135260	0.0017777169	0.009223715	0.006694026	0.0056594377	0.001749864	0.0038970665	0.0054247216	0.00046038965	0.0064362795	0.0047752187	0.0035506035	0.014831467	0.011863612	0.005888539	0.015635064	0.0036567356	0.05987179	0.033482723	0.009036561	0.013816738	0.042930648	0.031215677
MGBC135302	0.015572836	0.08806903	0.083388284	0.050229415	0.023242496	0.07083535	0.0783533	0.011669962	0.052329287	0.054696623	0.050649382	0.025513465	0.053953312	0.031150734	0.049835578	0.012225235	0.07514685	0.03489518	0.008497572	0.035094563	0.024756853	0.072931476
MGBC135402	0.0076202336	0.007849474	0.009778674	0.011996442	0.0022335846	0.0036803451	0.025768688	0.011967457	0.0038472717	0.0065919417	0.0034111158	0.02126106	0.13384432	0.17361698	0.026877826	0.10323472	0.17644873	0.35044658	0.022486718	0.0035420924	0.030893842	0.005105837
MGBC135451	0.00077971036	0.0016649462	0.0015615866	0.0025838357	0.00092697993	0.002973107	0.0018720921	0.000026353293	0.001745383	0.0061910856	0.0019229935	0.0008256782	0.00089491345	0.0005577465	0.0020211013	0.0006774526	0.0015327487	0.0011759673	0.000287412	0.0009142072	0.00048817246	0.0041843033
MGBC135470	0.010399194	0.029596275	0.025757898	0.022457575	0.007332127	0.02928372	0.042097528	0.0046259733	0.015860723	0.012328762	0.008162766	0.0067793094	0.028380422	0.013770264	0.008689104	0.004116686	0.017148148	0.010371516	0.0012518011	0.011743816	0.0076997555	0.016405085
MGBC135482	0.011540615	0.01329977	0.008659873	0.0049744	0.010690428	0.0057035456	0.003040152	0.004267232	0.007183586	0.0062974095	0.014159765	0.026308876	0.0090589	0.0043615717	0.0026762981	0.003008959	0.010484927	0.023282805	0.010268029	0.004877557	0.00295752	0.00002587001
MGBC135558	0.0000010650784	0.0000016712855	0.0000028398233	0.0000013718875	0.0000013033238	0.0000014535273	0	0	0.0000013963828	0.0000012749102	0.0000042738675	0	0	0	0	0	0	0	0	0	0	0
MGBC135575	0.00090299064	0.002667458	0.0021756955	0.0024747779	0.00096418906	0.001909158	0.0024548033	0.0006189459	0.0030964497	0.002516728	0.0012493121	0.0007419132	0.0007686341	0.0010687623	0.0014172763	0.00030506778	0.00090295536	0.00048577684	0.0002619603	0.001515415	0.0015202318	0.0047242143
MGBC135576	0.02142967	0.0072800023	0.009911117	0.013574344	0.01869092	0.0096671665	0.0086182775	0.024001643	0.008719147	0.0076126	0.017549243	0.02961489	0.012126204	0.03630532	0.03062063	0.04924897	0.015436624	0.016638406	0.034774274	0.018213397	0.024671772	0.010189433
MGBC135601	0.00013052455	0.00008451905	0	0.00006889064	0.00008543745	0.000048660175	0.000086194814	0.0000696922	0.00011678991	0.000048371305	0.00013201831	0.0006294476	0.00044437585	0.00073677656	0.0007807564	0.0016337369	0.0003678482	0.00033414867	0.00084760884	0.0002523827	0.0005243987	0.00009054475
MGBC135721	1.9691119	0.33728886	0.86586595	1.7442839	0.776503	0.8671712	0.682959	2.2269366	0.63554156	0.6097562	3.3064194	1.3958082	0.5389091	1.3879546	0.93967235	2.3723214	1.0633599	1.4019687	1.9525447	1.0154556	1.5326504	1.47794
MGBC135730	0.0076935557	0.0017219548	0.003090956	0.0040898444	0.006716661	0.004288619	0.003518412	0.008179975	0.0047618793	0.0038619868	0.0060427445	0.006180435	0.002827501	0.006686838	0.003231286	0.0072774277	0.002576977	0.0026164541	0.007856995	0.0060260696	0.004605121	0.007930376
MGBC135946	0.0039796527	0.00351086	0.0054970817	0.0034760388	0.0044606403	0.0019436387	0.002701965	0.0028886856	0.003942925	0.0053592757	0.0033297136	0.0062952824	0.007320501	0.007966415	0.0033117072	0.0054250685	0.008037129	0.013691343	0.0032924362	0.0117441965	0.005146099	0.0040042046
MGBC136074	0.0002952781	0.00036127598	0.0004875985	0.00028252203	0.00020045451	0.00029167873	0.00051385514	0.00021881027	0.00046939056	0.0002792176	0.0003791373	0.001356894	0.0021858423	0.0022446557	0.0004934713	0.0011471345	0.0016592653	0.0027022331	0.0005757829	0.007882974	0.0019997908	0.0017531726
MGBC136599	0.0013300453	0.0067805033	0.0058992472	0.006818797	0.0021679308	0.006600622	0.008264857	0.0010269947	0.0048972457	0.005358711	0.006209125	0.0025368042	0.0063073128	0.0029556693	0.005303609	0.0016775171	0.0064759743	0.0046303268	0.0009833443	0.0031254957	0.0026933455	0.009639947
MGBC136623	0.004369827	0.0054588793	0.0047269324	0.012256322	0.0047354386	0.008562246	0.009619793	0.0011221899	0.005896946	0.0061109774	0.008243426	0.0018033468	0.0035052318	0.0061173677	0.005374553	0.0022663653	0.0036724356	0.0023755184	0.0014587612	0.0030208323	0.004366524	0.001734149
MGBC136627	0.064278156	0.6753729	0.7662095	0.22088939	0.078690186	0.33847162	0.4295083	0.014811548	1.2956878	0.058949873	0.23028125	0.0045991694	0.025621895	0.011501307	0.013505966	0.0028211789	0.010014646	0.0063524568	0.0011492852	0.011390794	0.006055045	0.01663357
MGBC136829	0.002514194	0.024764787	0.017006416	0.008991899	0.0054934346	0.0095692845	0.017035186	0.0008660809	0.016671203	0.015998848	0.008589518	0.020845203	0.06395511	0.021098599	0.013439867	0.010107894	0.053394053	0.05067792	0.0043743085	0.048569914	0.0190698	0.04414563
MGBC136833	0.009836196	0.04688782	0.036925506	0.080714285	0.01423506	0.035194356	0.05057335	0.0020152195	0.040388633	0.020228473	0.035071943	0.0059638363	0.011879677	0.008538195	0.015313212	0.004897367	0.014934962	0.013415487	0.0039561987	0.0060992357	0.005254717	0.018685192
MGBC136872	0.0031978018	0.027864069	0.018572543	0.010152511	0.005292526	0.009181445	0.015458901	0.001105227	0.019411163	0.016375719	0.008056256	0.0153812	0.029219503	0.0136340875	0.016175171	0.0071494305	0.03484662	0.028498303	0.0034082006	0.029835312	0.0118853785	0.02592107
MGBC136875	0.00000084766435	0	0	0	0	0	0	0	0	0	0.0000026954847	0	0	0	0	0	0	0	0	0	0	0
MGBC136929	0.000019546538	0.000033324988	0.000035627458	0.000031123192	0.0000099168565	0.000014623325	0.000030576335	0.00000936917	0.000013152902	0.000023802817	0.000025715157	0	0	0.0000070917417	0.000015870808	0.000013242928	0	0	0	0	0	0.000040219435
MGBC137199	0.006176234	0.0479669	0.03221318	0.022292187	0.011794698	0.021990709	0.030667827	0.0023946906	0.022763604	0.017302647	0.021268625	0.014880772	0.056061294	0.022638787	0.02033476	0.007111334	0.036301386	0.023261927	0.0035810554	0.02930071	0.017140623	0.037851445
MGBC137200	0.057669975	0.015355718	0.028369203	0.030586608	0.0476881	0.023966	0.020642944	0.060247578	0.025485093	0.023094876	0.034947447	0.030241853	0.012389758	0.028479505	0.017386701	0.03787383	0.01510674	0.01709366	0.04687161	0.037522577	0.03453098	0.030469399
MGBC137655	0.002734649	0.023967529	0.016094366	0.010027981	0.009275251	0.01850338	0.017973121	0.0013591413	0.017218329	0.059025224	0.0054790517	0.0049689687	0.011346947	0.005303228	0.0106007075	0.0025283846	0.015920917	0.012330411	0.0015349912	0.008459736	0.0070552034	0.013169609
MGBC137711	0.0017213642	0.0010170658	0.0011898283	0.0011264683	0.0010310061	0.001313034	0.001305919	0.00062855525	0.0014478613	0.000823122	0.0036253843	0.0012023589	0.0013220388	0.00075541297	0.00076964835	0.00061389245	0.0013598799	0.0035624367	0.0028980968	0.0011199234	0.0010898949	0.001024473
MGBC137743	0.026081653	0.18559366	0.13107497	0.0688464	0.03869185	0.13743205	0.10889819	0.013911463	0.1588799	0.15245849	0.1052981	0.054608237	0.7291047	0.53650105	0.48617005	0.17196658	0.27779537	0.53299415	0.12696727	0.040541828	0.028158734	0.05843398
MGBC137756	0.0012209857	0.00764093	0.00549578	0.003548115	0.0023876172	0.009196499	0.008265836	0.0008275493	0.004923012	0.00705994	0.0038882853	0.0010884443	0.008707614	0.0034849239	0.0044194977	0.00093262293	0.0016551325	0.0012444346	0.00023620305	0.0027104658	0.00094649434	0.0028929303
MGBC137763	0.0036996698	0.028195448	0.022734046	0.017217908	0.0057830773	0.0110233	0.016254803	0.0006088484	0.016007135	0.010814006	0.023551613	0.018566094	0.120858304	0.067017496	0.04044985	0.017167587	0.076866955	0.026394835	0.0073419022	0.033597153	0.011776664	0.2940259
